"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1786204104433500296","Fri May 03 01:20:19 +0000 2024","0","terima kasih garuda muda shin tae yong erick thohir dan adit louis vuitton. ","1786204104433500296","","","in","Jakarta Utara, DKI Jakarta","0","0","0","https://twitter.com/fajrimfa/status/1786204104433500296","356658538","fajrimfa"
"1786203567071916350","Fri May 03 01:18:11 +0000 2024","0","Timnas U23 Indonesia Kalah Ahmed Zaki Iskandar Dorong PSSI Perpanjang Kontrak Shin Tae-yong https://t.co/E5BPUGzIPD lewat @tribunnews #TimnasU23 #shintaeyong","1786203567071916350","","","in","","0","0","0","https://twitter.com/WartaKota5/status/1786203567071916350","1544145887290568705","WartaKota5"
"1786202050617106558","Fri May 03 01:12:52 +0000 2024","0","Terima kasih Garuda Muda terima kasih Coach Shin Tae Yong dan Ketum PSSI Pak Erick Thohir beserta jajaran yang juga telah bekerja keras mewujudkan ini semua. #GarudaMuda #KitaGaruda #TimnasU23 #TimnasDay #OlimpiadeParis2024 #CdM #CdMOlimpiadeParis2024","1786202231542579675","","anindyabakrie","in","Jakarta","0","1","0","https://twitter.com/anindyabakrie/status/1786202231542579675","45871100","anindyabakrie"
"1786194500660179096","Fri May 03 01:01:10 +0000 2024","3","@idextratime all role beliau itu kalo shin tae yong out dia jg bsa gantiin","1786199285547307008","","idextratime","in","Kota Palu, Sulawesi Tengah","0","0","0","https://twitter.com/Sahrulstaare/status/1786199285547307008","1110102088460066816","Sahrulstaare"
"1786195827649896699","Fri May 03 00:47:25 +0000 2024","9","Ya kalau Indonesia U23 mainnya sama seperti semalam Guinea U23 akan mulus ke Olimpiade Paris. Belum lagi beberapa pemain kemungkinan nggak bisa dimainkan saat lawan Guinea U23 kan? PR tambahan buat Shin Tae Yong untuk menyusun starting XI terbaiknya dg skuad yg ada.","1786195827649896699","","","in","Jakarta Capital Region","0","1","0","https://twitter.com/FahmiAgustian/status/1786195827649896699","31058944","FahmiAgustian"
"1786191441712341154","Fri May 03 00:30:00 +0000 2024","1","Ridwan Kamil Usulkan Shin Tae Yong Diberi Penghargaan Jangka Panjang #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/nFNISMEFFy","1786191441712341154","","","in","Jakarta Capital Region","0","0","3","https://twitter.com/golkarpedia/status/1786191441712341154","721898354502930433","golkarpedia"
"1786186542798745918","Fri May 03 00:10:32 +0000 2024","3","Indonesia kalah dari Irak skor 2-1. Permainan kurang memuaskan sepertinya memamg faktor fisik masih jadi PR besar Shin Tae Yong. Sisa 1 kesempatan untuk bisa lolos Olimpiade. Playoff vs Guinea tanggal 9 Mei 2024.","1786186542798745918","","","in","Jakarta Capital Region","0","0","0","https://twitter.com/FahmiAgustian/status/1786186542798745918","31058944","FahmiAgustian"
"1786177427829616989","Thu May 02 23:34:19 +0000 2024","2","Pelatih tim nasional Indonesia U-23 Shin Tae Yong menilai perbedaan kedalaman skuad dalam tim menjadi faktor kunci kemenangan Irak. https://t.co/r5BUAhsq86","1786177427829616989","https://pbs.twimg.com/media/GMnG5mpbcAAGNUZ.jpg","","in","","0","0","0","https://twitter.com/lagilagibola/status/1786177427829616989","1464820564657328128","lagilagibola"
"1786169835745157218","Thu May 02 23:04:08 +0000 2024","0","Semngat Garuda mudaku .... @IndonesiaGaruda @shintaeyong @TimnasIndonesia https://t.co/UReIV2Q8HY","1786169835745157218","https://pbs.twimg.com/media/GMm__8obAAAsMp_.jpg","","in","","0","0","0","https://twitter.com/Vhina_RM/status/1786169835745157218","1609092631421943810","Vhina_RM"
"1786140188835791008","Thu May 02 21:06:20 +0000 2024","0","ini kalo sampe si anduk komentar macem macem lagi tentang shin tae yong dan anak anak diaspora gue hajar liatin aja.","1786140188835791008","","","in","i have my own universe","0","0","0","https://twitter.com/moodysmark/status/1786140188835791008","1341700295206694913","moodysmark"
"1786133350849155550","Thu May 02 20:39:10 +0000 2024","0","Terima kasih garuda muda kalian mainnya hebat tadi walau kalah angka gua bangga dengan perjuangan kalian. Terima kasih coach shin tae yong udah bawa timnas garuda muda terbang sejauh ini. Ayo semangat garuda.. masih ada harapan menuju olimpiade nanti lawan guinea 🇮🇩","1786133350849155550","","","in","indonesia ","0","0","0","https://twitter.com/engkossolihin/status/1786133350849155550","468871683","engkossolihin"
